title,原始评分-文采,原始评分-思维,原始评分-魔怔,文采,思维,魔怔,总分
[ID:0000 Date:20230926 Level:ins] [Archive_Name:没有及格],9.5,8,8.5,9.5,8,8.5,40.89799098
[ID:0002 Date:20230927 Level:ins] [Archive_Name:噪音],8.5,7.5,6,8.5,7.5,6,33.96274706
0.5%谷氨酸钠溶液计划,4.5,8,9,4.5,8,9,34.43867264
11 月 23 日霰呚,10,9,9.5,10,9,9.5,44.87032527
2023-06-11 闲话,0,5,0.5,0,5,0.5,7.520759074
2023-09-28,7.5,8.5,7,7.5,8.5,7,35.70956206
2023.9.28 旧事重提,7,8,8,7,8,8,36.22971288
4月13日闲话,4,7.5,6,4,7.5,6,27.28618919
Azune FFT,6.5,10,10,6.5,10,10,41.94886217
B3800题解,5,6,8.5,5,6,8.5,31.5967612
NOIP2022 VP 游记,0,10,10,0,10,10,32.30494526
P8353 题解,0.5,10,2.5,0.5,10,2.5,18.66059576
SDFZ 拼贴卷子,2,5,10,2,5,10,28.71062452
sszcdjr,8.5,8,5,8.5,8,5,32.70075647
Two stars overlapped.,8.5,8.5,6,8.5,8.5,6,35.27508301
出生传,9,9,7.5,9,9,7.5,39.55032861
合,9.5,8.5,9.5,9.5,8.5,9.5,43.47231753
极限运动,9,9,9,9,9,9,42.42756646
镓钇镍镥铟晶体,8.5,8,8,8.5,8,8,38.45523217
杰尼龟凭啥儿不能学喷射火焰？？2,5,7,9,5,7,9,33.86817644
金色的太阳花海,9.5,10,9,9.5,10,9,44.48174218
可是这是我们最后一次见面啊 ,3.5,2,9,3.5,2,9,25.08097736
泪水之机械迷城,8,7,9,8,7,9,38.31921502
礼,8.5,8,8,8.5,8,8,38.45523217
没抢到小三明治,8,10,8,8,10,8,40.33806432
人生若只如初见,10,9.5,9,10,9.5,9,44.56741396
如来 ,4,8,9,4,8,9,33.69683287
杀人煮心5,9.5,9.5,9.5,9.5,9.5,9.5,44.78465348
沙波儿历险记,1.5,4,10,1.5,4,10,26.6564488
生在不醒梦之中,9,7,7,9,7,7,35.96657741
树,10,9,6,10,9,6,38.15677028
随机说话。,8,7,8,8,7,8,36.40105645
退役记,9,8,9,9,8,9,41.1152305
完美无缺,10,9.5,9,10,9.5,9,44.56741396
我服了爸爸,0.5,0.5,10,0.5,0.5,10,20.57959342
我没有妄想症。,8.5,9,9,8.5,9,9,41.6857267
我受够了吗？我受得还不够！,5,8,7,5,8,7,31.34419526
先知,8,6,4,8,6,4,27.41608622
闲话,9.5,9.5,8.5,9.5,9.5,8.5,42.86649492
小刀,7,7,7,7,7,7,32.99921836
信息学竞赛,3,7,9,3,7,9,30.90081739
言,5,5,6,5,5,6,25.48902882
医生说我需要做一个脑部手术,7,6,9,7,6,9,35.52319953
永恒暑假的记录,8,9,8,8,9,8,39.02572837
造句练习,6,8,8,6,8,8,34.74603336
纸飞机,8,8,7,8,8,7,35.79523384
最后一块拼图,10,9,9.5,10,9,9.5,44.87032527
