title,原始评分-文采,原始评分-思维,原始评分-魔怔,文采,思维,魔怔,总分
[ID:0000 Date:20230926 Level:ins] [Archive_Name:没有及格],5,5,10,5,5,5.263157895,36.18928183
[ID:0002 Date:20230927 Level:ins] [Archive_Name:噪音],5,5,10,5,5,5.263157895,36.18928183
0.5%谷氨酸钠溶液计划,0,5,10,0,5,5.263157895,26.18928183
11 月 23 日霰呚,5,5,5,5,5,2.631578947,27.72427055
2023-06-11 闲话,5,10,5,5,10,2.631578947,36.98352981
2023-09-28,5,5,5,5,5,2.631578947,27.72427055
2023.9.28 旧事重提,0,5,5,0,5,2.631578947,17.72427055
Azune FFT,5,5,10,5,5,5.263157895,36.18928183
B3800题解,0,0,10,0,0,5.263157895,16.93002257
NOIP2022 VP 游记,0,0,19,0,0,10,32.16704289
P8353 题解,10,10,10,10,10,5.263157895,55.44854109
SDFZ 拼贴卷子,0,5,10,0,5,5.263157895,26.18928183
sszcdjr,5,0,10,5,0,5.263157895,26.93002257
Two stars overlapped.,10,5,5,10,5,2.631578947,37.72427055
出生传,0,5,10,0,5,5.263157895,26.18928183
哦（一）,10,5,10,10,5,5.263157895,46.18928183
合,5,5,10,5,5,5.263157895,36.18928183
极限运动,10,10,10,10,10,5.263157895,55.44854109
镓钇镍镥铟晶体,5,5,10,5,5,5.263157895,36.18928183
杰尼龟凭啥儿不能学喷射火焰？？2,0,5,10,0,5,5.263157895,26.18928183
金色的太阳花海,10,5,10,10,5,5.263157895,46.18928183
绝症,10,5,5,10,5,2.631578947,37.72427055
可是这是我们最后一次见面啊 ,0,0,10,0,0,5.263157895,16.93002257
泪水之机械迷城,5,5,5,5,5,2.631578947,27.72427055
礼,5,5,5,5,5,2.631578947,27.72427055
没抢到小三明治,5,5,10,5,5,5.263157895,36.18928183
人生若只如初见,10,5,10,10,5,5.263157895,46.18928183
如来 ,0,0,10,0,0,5.263157895,16.93002257
杀人煮心5,10,10,10,10,10,5.263157895,55.44854109
沙波儿历险记,0,5,10,0,5,5.263157895,26.18928183
生在不醒梦之中,10,10,10,10,10,5.263157895,55.44854109
树,10,10,10,10,10,5.263157895,55.44854109
随机说话。,5,5,10,5,5,5.263157895,36.18928183
退役记,5,5,5,5,5,2.631578947,27.72427055
完美无缺,10,5,10,10,5,5.263157895,46.18928183
我服了爸爸,0,0,10,0,0,5.263157895,16.93002257
我没有妄想症。,10,10,5,10,10,2.631578947,46.98352981
我受够了吗？我受得还不够！,5,10,10,5,10,5.263157895,45.44854109
先知,5,5,19,5,5,10,51.42630215
闲话,5,5,10,5,5,5.263157895,36.18928183
小刀,5,10,10,5,10,5.263157895,45.44854109
信息学竞赛,0,5,5,0,5,2.631578947,17.72427055
言,5,5,5,5,5,2.631578947,27.72427055
医生说我需要做一个脑部手术,0,5,10,0,5,5.263157895,26.18928183
永恒暑假的记录,5,5,5,5,5,2.631578947,27.72427055
造句练习,5,5,10,5,5,5.263157895,36.18928183
纸飞机,5,5,10,5,5,5.263157895,36.18928183
最后一块拼图,10,10,10,10,10,5.263157895,55.44854109
