title,原始评分-文采,原始评分-思维,原始评分-魔怔,文采,思维,魔怔
[ID:0000 Date:20230926 Level:ins] [Archive_Name:没有及格],5,5,6,3.75,2.857142857,3.333333333
[ID:0002 Date:20230927 Level:ins] [Archive_Name:噪音],5,5,6,3.75,2.857142857,3.333333333
0.5%谷氨酸钠溶液计划,4,4,9,2.5,1.428571429,8.333333333
11 月 23 日霰呚,3,7,6,1.25,5.714285714,3.333333333
2023-06-11 闲话,3,4,4,1.25,1.428571429,0
2023-09-28,5,4,7,3.75,1.428571429,5
2023.9.28 旧事重提,6,7,4,5,5.714285714,0
4月13日闲话,5,5,5,3.75,2.857142857,1.666666667
Azune FFT,4,9,10,2.5,8.571428571,10
B3800题解,2,5,5,0,2.857142857,1.666666667
NOIP2022 VP 游记,3,6,5,1.25,4.285714286,1.666666667
P8353 题解,2,6,8,0,4.285714286,6.666666667
SDFZ 拼贴卷子,2,5,8,0,2.857142857,6.666666667
sszcdjr,4,9,7,2.5,8.571428571,5
Two stars overlapped.,5,4,4,3.75,1.428571429,0
出生传,6,6,6,5,4.285714286,3.333333333
哦（一）,5,5,6,3.75,2.857142857,3.333333333
合,5,4,5,3.75,1.428571429,1.666666667
极限运动,6,7,8,5,5.714285714,6.666666667
镓钇镍镥铟晶体,6,7,7,5,5.714285714,5
杰尼龟凭啥儿不能学喷射火焰？？2,4,4,6,2.5,1.428571429,3.333333333
金色的太阳花海,7,7,6,6.25,5.714285714,3.333333333
绝症,5,5,6,3.75,2.857142857,3.333333333
可是这是我们最后一次见面啊 ,4,4,6,2.5,1.428571429,3.333333333
泪水之机械迷城,4,5,5,2.5,2.857142857,1.666666667
礼,5,7,6,3.75,5.714285714,3.333333333
没抢到小三明治,3,4,7,1.25,1.428571429,5
人生若只如初见,6,4,4,5,1.428571429,0
如来 ,4,4,5,2.5,1.428571429,1.666666667
杀人煮心5,7,7,7,6.25,5.714285714,5
沙波儿历险记,5,4,5,3.75,1.428571429,1.666666667
生在不醒梦之中,7,6,6,6.25,4.285714286,3.333333333
树,10,9,5,10,8.571428571,1.666666667
随机说话。,3,3,4,1.25,0,0
完美无缺,9,7,6,8.75,5.714285714,3.333333333
我服了爸爸,5,7,5,3.75,5.714285714,1.666666667
我没有妄想症。,6,5,6,5,2.857142857,3.333333333
我受够了吗？我受得还不够！,7,8,6,6.25,7.142857143,3.333333333
先知,5,5,5,3.75,2.857142857,1.666666667
闲话,9,6,7,8.75,4.285714286,5
小刀,4,6,5,2.5,4.285714286,1.666666667
信息学竞赛,5,7,5,3.75,5.714285714,1.666666667
言,4,4,4,2.5,1.428571429,0
医生说我需要做一个脑部手术,3,4,7,1.25,1.428571429,5
造句练习,4,3,6,2.5,0,3.333333333
纸飞机,6,7,5,5,5.714285714,1.666666667
最后一块拼图,6,4,4,5,1.428571429,0
