title,原始评分-文采,原始评分-思维,原始评分-魔怔,文采,思维,魔怔,总分
[ID:0000 Date:20230926 Level:ins] [Archive_Name:没有及格],7,6,9,7,6,9,35.94411393
[ID:0002 Date:20230927 Level:ins] [Archive_Name:噪音],7,7,8,7,7,8,35.50294371
0.5%谷氨酸钠溶液计划,3,6,8,3,6,8,28.01783623
11 月 23 日霰呚,5,8,8,5,8,8,33.89714211
2023-06-11 闲话,4,7,7,4,7,7,29.09181752
2023-09-28,7,10,8,7,10,8,39.77644799
2023.9.28 旧事重提,6,9,8,6,9,8,36.83679505
4月13日闲话,5,7,5,5,7,5,26.87562576
Azune FFT,6,7,10,6,7,10,37.71913548
B3800题解,2,4,7,2,4,7,21.78801022
NOIP2022 VP 游记,7,7,8,7,7,8,35.50294371
P8353 题解,6,10,7,6,10,7,36.39562483
SDFZ 拼贴卷子,4,3,10,4,3,10,28.99082675
sszcdjr,7,5,8,7,5,8,32.65394086
Two stars overlapped.,10,8,6,10,8,6,37.7415564
出生传,7,9,8,7,9,8,38.35194656
哦（一）,8,7,8,8,7,8,37.01809523
合,7,7,9,7,7,9,37.36861535
极限运动,9,9,8,9,9,8,41.38224959
镓钇镍镥铟晶体,8,8,9,8,8,9,40.30826829
杰尼龟凭啥儿不能学喷射火焰？？2,0,1,10,0,1,10,20.08121784
金色的太阳花海,10,9,7,10,9,7,41.03172946
绝症,8,7,7,8,7,7,35.15242359
可是这是我们最后一次见面啊 ,5,6,8,5,6,8,31.04813926
泪水之机械迷城,9,8,9,9,8,9,41.82341981
礼,7,5,9,7,5,9,34.5196125
没抢到小三明治,9,10,8,9,10,8,42.80675102
如来 ,5,2,8,5,2,8,25.35013356
杀人煮心5,10,10,8,10,10,8,44.32190253
沙波儿历险记,4,3,8,4,3,8,25.25948347
生在不醒梦之中,10,10,9,10,10,9,46.18757417
树,10,9,7,10,9,7,41.03172946
随机说话。,1,1,10,1,1,10,21.59636936
退役记,9,9,7,9,9,7,39.51657795
完美无缺,10,10,8,10,10,8,44.32190253
我服了爸爸,1,3,9,1,3,9,22.57970056
我没有妄想症。,9,9,10,9,9,10,45.11359287
我受够了吗？我受得还不够！,7,9,8,7,9,8,38.35194656
先知,6,8,8,6,8,8,35.41229362
闲话,10,9,9,10,9,9,44.76307275
小刀,9,9,8,9,9,8,41.38224959
信息学竞赛,6,7,9,6,7,9,35.85346384
言,0,0,10,0,0,10,18.65671642
医生说我需要做一个脑部手术,7,7,8,7,7,8,35.50294371
永恒暑假的记录,9,10,7,9,10,7,40.94107937
造句练习,6,7,7,6,7,7,32.12212055
纸飞机,10,9,9,10,9,9,44.76307275
最后一块拼图,8,10,8,8,10,8,41.2915995
