title,原始评分-文采,原始评分-思维,原始评分-魔怔,文采,思维,魔怔,总分
[ID:0000 Date:20230926 Level:ins] [Archive_Name:没有及格],10,10,10,10,10,10,51.473298043419994
[ID:0002 Date:20230927 Level:ins] [Archive_Name:噪音],10,10,10,10,10,10,51.473298043419994
0.5%谷氨酸钠溶液计划,0,0,4,0,0,4,8.2417582417582409
11 月 23 日霰呚,0,5,5,0,5,5,18.114697802197803
2023-09-28,5,5,5,5,5,5,25.736649021709997
2023.9.28 旧事重提,5,5,5,5,5,5,25.736649021709997
4月13日闲话,4,8,4,4,8,4,26.839319217367997
Azune FFT,10,5,10,10,5,10,43.660798043419994
B3800题解,0,0,0,0,0,0,0
NOIP2022 VP 游记,0,5,0,0,5,0,7.8125
SDFZ 拼贴卷子,8,4,8,8,4,8,34.928638434735994
sszcdjr,10,10,10,10,10,10,51.473298043419994
Two stars overlapped.,10,10,10,10,10,10,51.473298043419994
出生传,10,5,10,10,5,10,43.660798043419994
哦（一）,8,8,4,8,8,4,32.936880192977753
合,10,5,10,10,5,10,43.660798043419994
极限运动,10,10,10,10,10,10,51.473298043419994
镓钇镍镥铟晶体,10,10,10,10,10,10,51.473298043419994
杰尼龟凭啥儿不能学喷射火焰？？2,4,8,8,4,8,8,35.081077459126234
金色的太阳花海,10,5,5,10,5,5,33.358600241222192
绝症,10,10,5,10,10,5,41.171100241222192
可是这是我们最后一次见面啊 ,0,0,10,0,0,10,20.604395604395606
泪水之机械迷城,4,4,4,4,4,4,20.589319217367997
礼,10,5,5,10,5,5,33.358600241222192
没抢到小三明治,10,10,10,10,10,10,51.473298043419994
人生若只如初见,10,10,10,10,10,10,51.473298043419994
如来 ,4,4,4,4,4,4,20.589319217367997
杀人煮心5,8,4,8,8,4,8,34.928638434735994
沙波儿历险记,5,5,10,5,5,10,36.038846823907804
生在不醒梦之中,8,8,8,8,8,8,41.178638434735994
树,10,10,10,10,10,10,51.473298043419994
随机说话。,0,0,10,0,0,10,20.604395604395606
退役记,10,10,5,10,10,5,41.171100241222192
完美无缺,10,10,10,10,10,10,51.473298043419994
我服了爸爸,5,10,5,5,10,5,33.549149021709994
我没有妄想症。,5,10,5,5,10,5,33.549149021709994
我受够了吗？我受得还不够！,4,0,8,4,0,8,22.581077459126238
先知,4,4,8,4,4,8,28.831077459126238
闲话,10,0,10,10,0,10,35.848298043419994
小刀,8,4,8,8,4,8,34.928638434735994
信息学竞赛,5,10,10,5,10,10,43.851346823907804
言,0,10,0,0,10,0,15.625
医生说我需要做一个脑部手术,5,5,10,5,5,10,36.038846823907804
永恒暑假的记录,5,10,5,5,10,5,33.549149021709994
造句练习,4,4,8,4,4,8,28.831077459126238
纸飞机,10,10,10,10,10,10,51.473298043419994
最后一块拼图,10,5,10,10,5,10,43.660798043419994
